,_wandb,N_init,N_sample_scale,Nt,appex_maxiters,downsample_rate,dt,noise_strength,A_grit_error,A_appex_error
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.1285459410865313,0.032989933671820765
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.36904751869097,0.03364555208829227
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.2930405558479596,0.030936763563791634
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.818866602317145,0.030756273805898873
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.361301393502041,0.047304008557347836
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.640392730746573,0.0447793935674299
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.428418850749696,0.03909240179562664
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.067068247633776,0.0420052912130557
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,3.3125733765522627,0.03880985091700304
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.684622601364504,0.037951896933511836
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,4.765433476278397,0.033783343640299994
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.05,2.6566579711028204,0.11385051672747959
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.1,8.119143659899274,0.012204582288645665
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.1,6.596364597260184,0.03046952902410936
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.1,7.423140929491283,0.012116205036145071
value,"{'cli_version': '0.19.8', 'm': [], 'python_version': '3.12.2', 't': {'1': [55], '2': [55], '3': [2, 14, 23, 55], '4': '3.12.2', '5': '0.19.8', '8': [5], '12': '0.19.8', '13': 'darwin-arm64'}}",50,5,15000,20,100,0.0001,0.1,6.618567980395266,0.021514140700665436
